Astronics Cp,ATRO,20180409,35.69,35.96,34.83,34.86,89100
Antares Pharma,ATRS,20180409,2.15,2.22,2.08,2.09,982200
Air Transport,ATSG,20180409,23.33,23.33,22.34,22.36,415700
Attunity Ltd,ATTU,20180409,7.23,7.31,7.22,7.3,14200
Activision Blizzard,ATVI,20180409,65.16,66.77,64.96,65.77,6588100
Avenue Therapeutics Inc,ATXI,20180409,4.7,5.19,4.62,4.93,101800
Auburn Natl Bncp I,AUBN,20180409,38.65,38.65,38.65,38.65,700
Audiocodes Ltd,AUDC,20180409,6.79,7.13,6.79,6.99,27800
Aurinia Pharm Ord,AUPH,20180409,5.2,5.35,5.16,5.16,572200
Autoweb Inc,AUTO,20180409,3.02,3.095,2.915,3.01,53400
Aerovironment Inc,AVAV,20180409,45.34,46.43,45.305,45.77,223100
Avadel Pharmaceuticals Plc,AVDL,20180409,7.49,7.61,7.33,7.47,331900
Aveo Pharmaceuticals,AVEO,20180409,2.34,2.69,2.32,2.5,4013900
Broadcom Ltd,AVGO,20180409,229.98,239.66,229.26,234.74,3749300
Avinger Inc,AVGR,20180409,1.21,1.21,1.16,1.18,251200
A V Homes Inc,AVHI,20180409,19.2,19.3,18.45,18.55,120200
Avid Tech Inc,AVID,20180409,4.48,4.52,4.46,4.49,124700
Aviat Networks Inc,AVNW,20180409,16.76,16.91,16.75,16.75,12400
Anavex Lf SC,AVXL,20180409,2.38,2.38,2.25,2.28,300800
Avexis Inc,AVXS,20180409,209.8,211.75,205,210.46,12729100
Aware Inc,AWRE,20180409,4.1,4.2,4.05,4.1,49800
Abraxas Petro Corp,AXAS,20180409,2.3,2.465,2.285,2.33,1619000
Accelerate Diagnosti,AXDX,20180409,23.5,24.1,23.3,23.4,234500
Axogen Inc,AXGN,20180409,37.1,38.15,37.05,37.35,165000
Axovant Sciences Ltd,AXON,20180409,1.19,1.2,1.14,1.14,476200
Axsome Thera,AXSM,20180409,2.45,2.5,2.4,2.45,83400
Axt Inc,AXTI,20180409,6.95,7.1,6.85,6.85,230900
Atlantica Yield Plc,AY,20180409,19.92,20.06,19.845,19.88,449600
Aytu Bioscience Inc,AYTU,20180409,0.59,0.63,0.56,0.63,3684100
Aspen Technology,AZPN,20180409,81.21,82.44,80.37,80.38,440200
Azurrx Biopharma Inc,AZRX,20180409,3,3.05,2.9,2.91,10000
Natus Medical Inc,BABY,20180409,33.05,33.65,32.6,33.3,388600
Bandwidth Inc,BAND,20180409,30.7,31.75,30.25,31.1,35300
Bancfirst Corp,BANF,20180409,53.6,54.5,53.25,53.3,29600
Banner Corp,BANR,20180409,54.7,55.64,54.21,54.25,120100
Stonecastle Fncl Cp,BANX,20180409,21.66,21.82,21.51,21.54,6900
Bioanalytical Syst,BASI,20180409,1.47,1.55,1.47,1.5,12100
Liberty Braves CS A,BATRA,20180409,22.7,22.8,22.2,22.21,24700
Liberty Braves CS C,BATRK,20180409,22.88,22.95,22.34,22.4,225200
Bed Bath & Beyond,BBBY,20180409,21.23,21.3,20.62,20.82,4499800
Beasley Brdcst Gr,BBGI,20180409,10.3,10.475,10.25,10.25,16400
Biotech Vaneck ETF,BBH,20180409,114.78,117.32,114.66,115.51,21000
Black Box Cp,BBOX,20180409,1.95,2.075,1.9,2.05,125900
Bravo Brio Restauran,BBRG,20180409,4,4.05,3.95,4,140500
Barrett Business S,BBSI,20180409,82.27,83.8,81.93,81.95,43100
Bcb Bancorp Inc,BCBP,20180409,15.8,15.95,15.6,15.7,13100
Brainstorm Cell,BCLI,20180409,3.42,3.42,3.15,3.25,43900
B Communications Ltd,BCOM,20180409,12.85,12.85,12.71,12.72,2200
Blucora Inc,BCOR,20180409,24.4,24.65,24.15,24.15,290700
